LINHA           | TOKEN           | TIPO            | FUNCAO          | VALOR           | 
1               | T_DEF           | --              | --              | def             | 
1               | FUNCAO          | --              | --              | bubble_sort     | 
1               | T_ABREPARENTESE | --              | --              | (               | 
1               | T_FECHAPARENTES | --              | --              | )               | 
1               | T_ABRECHAVE     | --              | --              | {               | 
3               | T_INT           | --              | --              | int             | 
3               | ID              | int             | bubble_sort     | ARR             | 
3               | T_ABRECOLCHETE  | --              | --              | [               | 
3               | NUMERO          | --              | --              | 50              | 
3               | T_FECHACOLCHETE | --              | --              | ]               | 
3               | EOL             | --              | --              | ;               | 
4               | T_INT           | --              | --              | int             | 
4               | ID              | int             | bubble_sort     | NUM             | 
4               | EOL             | --              | --              | ;               | 
5               | T_INT           | --              | --              | int             | 
5               | ID              | int             | bubble_sort     | X               | 
5               | EOL             | --              | --              | ;               | 
6               | T_INT           | --              | --              | int             | 
6               | ID              | int             | bubble_sort     | Y               | 
6               | EOL             | --              | --              | ;               | 
7               | T_INT           | --              | --              | int             | 
7               | ID              | int             | bubble_sort     | TEMP            | 
7               | EOL             | --              | --              | ;               | 
9               | T_WRITE         | --              | --              | print           | 
9               | TEXTO           | --              | --              | "Please Enter t | 
9               | EOL             | --              | --              | ;               | 
11              | T_READ          | --              | --              | read            | 
11              | ID              | int             | bubble_sort     | NUM             | 
11              | EOL             | --              | --              | ;               | 
13              | T_WRITE         | --              | --              | print           | 
13              | TEXTO           | --              | --              | "Please Enter t | 
13              | EOL             | --              | --              | ;               | 
15              | T_FOR           | --              | --              | for             | 
15              | T_ABREPARENTESE | --              | --              | (               | 
15              | ID              | int             | bubble_sort     | X               | 
15              | T_ATRIBUICAO    | --              | --              | =               | 
15              | NUMERO          | --              | --              | 0               | 
15              | EOL             | --              | --              | ;               | 
15              | ID              | int             | bubble_sort     | X               | 
15              | T_MENOR         | --              | --              | <               | 
15              | ID              | int             | bubble_sort     | NUM             | 
15              | EOL             | --              | --              | ;               | 
15              | ID              | int             | bubble_sort     | X               | 
15              | T_ATRIBUICAO    | --              | --              | =               | 
15              | ID              | int             | bubble_sort     | X               | 
15              | T_SOMA          | --              | --              | +               | 
15              | NUMERO          | --              | --              | 1               | 
15              | T_FECHAPARENTES | --              | --              | )               | 
15              | T_ABRECHAVE     | --              | --              | {               | 
16              | T_READ          | --              | --              | read            | 
16              | ID              | int             | bubble_sort     | ARR             | 
16              | T_ABRECOLCHETE  | --              | --              | [               | 
16              | ID              | int             | bubble_sort     | X               | 
16              | T_FECHACOLCHETE | --              | --              | ]               | 
16              | EOL             | --              | --              | ;               | 
17              | T_FECHACHAVE    | --              | --              | }               | 
19              | T_FOR           | --              | --              | for             | 
19              | T_ABREPARENTESE | --              | --              | (               | 
19              | ID              | int             | bubble_sort     | X               | 
19              | T_ATRIBUICAO    | --              | --              | =               | 
19              | NUMERO          | --              | --              | 0               | 
19              | EOL             | --              | --              | ;               | 
19              | ID              | int             | bubble_sort     | X               | 
19              | T_MENOR         | --              | --              | <               | 
19              | ID              | int             | bubble_sort     | NUM             | 
19              | T_SUBTRACAO     | --              | --              | -               | 
19              | NUMERO          | --              | --              | 1               | 
19              | EOL             | --              | --              | ;               | 
19              | ID              | int             | bubble_sort     | X               | 
19              | T_ATRIBUICAO    | --              | --              | =               | 
19              | ID              | int             | bubble_sort     | X               | 
19              | T_SOMA          | --              | --              | +               | 
19              | NUMERO          | --              | --              | 1               | 
19              | T_FECHAPARENTES | --              | --              | )               | 
19              | T_ABRECHAVE     | --              | --              | {               | 
20              | T_FOR           | --              | --              | for             | 
20              | T_ABREPARENTESE | --              | --              | (               | 
20              | ID              | int             | bubble_sort     | Y               | 
20              | T_ATRIBUICAO    | --              | --              | =               | 
20              | NUMERO          | --              | --              | 0               | 
20              | EOL             | --              | --              | ;               | 
20              | ID              | int             | bubble_sort     | Y               | 
20              | T_MENOR         | --              | --              | <               | 
20              | ID              | int             | bubble_sort     | NUM             | 
20              | T_SUBTRACAO     | --              | --              | -               | 
20              | ID              | int             | bubble_sort     | X               | 
20              | T_SUBTRACAO     | --              | --              | -               | 
20              | NUMERO          | --              | --              | 1               | 
20              | EOL             | --              | --              | ;               | 
20              | ID              | int             | bubble_sort     | Y               | 
20              | T_ATRIBUICAO    | --              | --              | =               | 
20              | ID              | int             | bubble_sort     | Y               | 
20              | T_SOMA          | --              | --              | +               | 
20              | NUMERO          | --              | --              | 1               | 
20              | T_FECHAPARENTES | --              | --              | )               | 
20              | T_ABRECHAVE     | --              | --              | {               | 
21              | T_IF            | --              | --              | if              | 
21              | T_ABREPARENTESE | --              | --              | (               | 
21              | ID              | int             | bubble_sort     | ARR             | 
21              | T_ABRECOLCHETE  | --              | --              | [               | 
21              | ID              | int             | bubble_sort     | Y               | 
21              | T_FECHACOLCHETE | --              | --              | ]               | 
21              | T_MAIOR         | --              | --              | >               | 
21              | ID              | int             | bubble_sort     | ARR             | 
21              | T_ABRECOLCHETE  | --              | --              | [               | 
21              | ID              | int             | bubble_sort     | Y               | 
21              | T_SOMA          | --              | --              | +               | 
21              | NUMERO          | --              | --              | 1               | 
21              | T_FECHACOLCHETE | --              | --              | ]               | 
21              | T_FECHAPARENTES | --              | --              | )               | 
21              | T_ABRECHAVE     | --              | --              | {               | 
22              | ID              | int             | bubble_sort     | TEMP            | 
22              | T_ATRIBUICAO    | --              | --              | =               | 
22              | ID              | int             | bubble_sort     | ARR             | 
22              | T_ABRECOLCHETE  | --              | --              | [               | 
22              | ID              | int             | bubble_sort     | Y               | 
22              | T_FECHACOLCHETE | --              | --              | ]               | 
22              | EOL             | --              | --              | ;               | 
23              | ID              | int             | bubble_sort     | ARR             | 
23              | T_ABRECOLCHETE  | --              | --              | [               | 
23              | ID              | int             | bubble_sort     | Y               | 
23              | T_FECHACOLCHETE | --              | --              | ]               | 
23              | T_ATRIBUICAO    | --              | --              | =               | 
23              | ID              | int             | bubble_sort     | ARR             | 
23              | T_ABRECOLCHETE  | --              | --              | [               | 
23              | ID              | int             | bubble_sort     | Y               | 
23              | T_SOMA          | --              | --              | +               | 
23              | NUMERO          | --              | --              | 1               | 
23              | T_FECHACOLCHETE | --              | --              | ]               | 
23              | EOL             | --              | --              | ;               | 
24              | ID              | int             | bubble_sort     | ARR             | 
24              | T_ABRECOLCHETE  | --              | --              | [               | 
24              | ID              | int             | bubble_sort     | Y               | 
24              | T_SOMA          | --              | --              | +               | 
24              | NUMERO          | --              | --              | 1               | 
24              | T_FECHACOLCHETE | --              | --              | ]               | 
24              | T_ATRIBUICAO    | --              | --              | =               | 
24              | ID              | int             | bubble_sort     | TEMP            | 
24              | EOL             | --              | --              | ;               | 
25              | T_FECHACHAVE    | --              | --              | }               | 
26              | T_FECHACHAVE    | --              | --              | }               | 
27              | T_FECHACHAVE    | --              | --              | }               | 
29              | T_WRITE         | --              | --              | print           | 
